序号,大学英文名称,学位,专业英文名称,所属院系,Gemini最终毕业要求,处理状态,Gemini完整回答,原始回答1,原始回答2,原始回答3
260,"University at Buffalo, SUNY",MS,Engineering Science (Data Science) MS,工程与应用科学学院,A data science project or industry internship is required.,SUCCESS,A data science project or industry internship is required.,Data science project or industry internship required.,"Data Science Project required, with options for an industry internship or a research project.",A data science project or industry internship is required.
261,"University at Buffalo, SUNY",MS,Engineering Science (Data Science) MS,工程与应用科学学院,Data Science Project (internship or research project) required.,SUCCESS,Data Science Project (internship or research project) required.,Data Science Project (internship or research project) required.,Data science project or industry internship is required.,Data Science Project (internship or research project) required.
262,"University at Buffalo, SUNY",PhD,Computational and Data Enabled Sciences PhD,工程与应用科学学院,Qualifying exams and a dissertation are required.,SUCCESS,Qualifying exams and a dissertation are required.,Qualifying exams and a research dissertation are required.,Qualifying exams and a dissertation are required.,
263,Stevens Institute of Technology,PHD,Ph.D. in Data Science,商学院,Qualifying exam and research dissertation required.,SUCCESS,Qualifying exam and research dissertation required.,"The browsed page provides details about the Ph.D. in Data Science program, including admission requirements and curriculum. However, it does not explicitly state any non-coursework graduation requirements such as a capstone, thesis, or comprehensive exam. It mentions a ""strong practical research component"" and that ""graduates become research leaders in academia or industry,"" but this does not specify a concrete graduation requirement beyond coursework.

I need to look for a ""Degree Requirements"" or ""Program Handbook"" link, or perform a search.
The page mentions ""> More info on curriculum"" but this is not a clickable link.
I will look for a link to ""Academic Catalog"" as it often contains detailed degree requirements. I see ""Academic Catalog"" in the footer under ""Academics"". I will browse that page.",Dissertation and qualifying exam required.,Qualifying exam and research dissertation required.
264,Stevens Institute of Technology,MBA,ANALYTICS MBA,商学院,Capstone project required,SUCCESS,Capstone project required,A capstone project is required.,Capstone project required,Capstone project required
265,Stevens Institute of Technology,MBA,ANALYTICS MBA,商学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,,Capstone project required.
266,Stevens Institute of Technology,MS,"DATA SCIENCE, M.S. ",工程与科学学院,Optional research or clinical thesis available.,SUCCESS,Optional research or clinical thesis available.,Optional research or clinical thesis available.,Optional research or clinical thesis available.,Optional research thesis available.
267,Stevens Institute of Technology,MS,"DATA SCIENCE, M.S. ",工程与科学学院,Research or clinical thesis option available.,SUCCESS,Research or clinical thesis option available.,Optional research or clinical thesis available.,Optional research or clinical thesis available.,Research or clinical thesis option available.
268,University of Delaware,MS,Data Science,文理学院,Thesis or non-thesis option available.,SUCCESS,Thesis or non-thesis option available.,Thesis or non-thesis option available.,"The first URL did not load. The second URL, ""https://www.mathsci.udel.edu/educational-programs/the-graduate-program,"" is for the Department of Mathematical Sciences and mentions ""MS Degrees"" and ""PhD Degrees"" but doesn't specifically detail the MS in Data Science program's graduation requirements beyond coursework. It mentions ""Dual Degree MSDS & PhD"" which suggests an MS in Data Science exists within this department, but the specific requirements are not clearly stated here. I need to find the specific requirements for the MS Data Science program.

Since the first URL failed, and the second one is too general, I will perform the suggested search: ""University of Delaware MS Data Science graduation requirement capstone thesis practicum exam site:.edu"".",A research thesis is an option.
269,University of Delaware,MS,INTERDISCIPLINARY EVALUATION SCIENCE,跨学科项目,No additional graduation requirement,SUCCESS,No additional graduation requirement,No additional graduation requirement,The,
270,Worcester Polytechnic Institute,MS,DATA SCIENCE,文理学院,Capstone project or research thesis required.,SUCCESS,Capstone project or research thesis required.,Capstone project or research thesis required.,Capstone project or research thesis required.,Capstone project or research thesis required.
271,Worcester Polytechnic Institute,MS,DATA SCIENCE,文理学院,Capstone project or research thesis required.,SUCCESS,Capstone project or research thesis required.,Capstone project or research thesis required.,Capstone project or research thesis required.,Capstone project or research thesis option required.
272,Worcester Polytechnic Institute,Ph.D,DATA SCIENCE,文理学院,Qualifying examination and dissertation research required.,SUCCESS,Qualifying examination and dissertation research required.,Qualifying examination and dissertation research with proposal and defense are required.,Qualifying examination and dissertation research required.,Qualifying examination and dissertation required.
273,Worcester Polytechnic Institute,Ph.D,DATA SCIENCE,文理学院,Qualifying examination and research dissertation required.,SUCCESS,Qualifying examination and research dissertation required.,Qualifying examination and research dissertation required.,Qualifying examination and dissertation with proposal and defense required.,Qualifying examination and research dissertation required.
274,Clemson University,MS,Master of Applied Computing,工程，计算机和应用科学学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,"The browsed pages provide an overview of the Master of Applied Computing (MAC) program, including application requirements and coursework details. However, neither page explicitly states any non-coursework graduation requirements like a capstone, thesis, or comprehensive exam. The ""Coursework"" section on the first page leads to a general catalog, not specific MAC requirements. The second page lists various graduate programs but doesn't detail specific non-coursework graduation requirements for the MAC.

Therefore, I need to perform the suggested Google search to find more specific information."
275,Clemson University,MS,Master of Applied Computing,工程，计算机和应用科学学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.
276,Clemson University,MS,Computer Science,工程，计算机和应用科学学院,"A thesis and an oral examination are required for the thesis option, with no additional requirements for the non-thesis option.",SUCCESS,"A thesis and an oral examination are required for the thesis option, with no additional requirements for the non-thesis option.","A master's thesis and an oral examination are required for the thesis option; otherwise, no additional requirements exist for the non-thesis option.",,A research thesis and oral examination are required for the thesis option; no additional requirements for the non-thesis option.
277,Clemson University,MS,Computer Science,工程，计算机和应用科学学院,"Thesis option with a research thesis and oral examination, or a non-thesis option with no additional graduation requirements beyond coursework.",SUCCESS,"Thesis option with a research thesis and oral examination, or a non-thesis option with no additional graduation requirements beyond coursework.",Thesis or non-thesis option available; thesis option requires master's thesis research and a final oral examination.,The Master of Science in Computer Science program offers either a thesis with an oral examination or a non-thesis option.,"The Clemson University MS in Computer Science program offers a thesis option with a research thesis and oral examination, or a non-thesis option with no additional graduation requirements beyond coursework."
278,Clemson University,MS,Data Science and Analytics,理学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement,Not found
279,Marquette University,MS,COMPUTER AND INFORMATION SCIENCE：AI and Analytics ,文理学院,Thesis or non-thesis option available.,SUCCESS,Thesis or non-thesis option available.,Thesis or non-thesis option.,Thesis or no additional requirement option.,"Thesis or non-thesis option, with thesis requiring an oral examination."
280,Marquette University,MS,COMPUTER AND INFORMATION SCIENCE：AI and Analytics ,文理学院,Thesis or non-thesis option required.,SUCCESS,Thesis or non-thesis option required.,Research thesis or oral examination required for the thesis option.,<,"The first URL, `https://www.marquette.edu/grad/programs-computing.php`, mentions:
""33 Credit Hours* *Based on non-thesis (Plan B). See bulletin for thesis (Plan A) credit hours""
And also, ""Information Assurance and Cyber Defense specialization: This option requires practical experience gained through a practicum.""

The prompt specifically asks about the ""MS COMPUTER AND INFORMATION SCIENCE: AI and Analytics"" program.
The Information Assurance and Cyber Defense specialization mentions a practicum, but the AI and Analytics specialization does not explicitly state such a requirement on this page. However, it does state ""See bulletin for thesis (Plan A) credit hours"" and ""Based on non-thesis (Plan B)"". This indicates that a thesis option (Plan A) or a non-thesis option (Plan B) exists for the overall MS in Computer and Information Science program, which includes the AI and Analytics specialization.

I need to confirm if the thesis option (Plan A) applies to the AI and Analytics specialization and if there are any other specific non-coursework requirements for this specialization. The prompt asks to check the ""Graduate School Bulletin"". I will search for the ""Graduate School Bulletin Marquette University Computer and Information Science"" to find more details."
281,Marquette University,MS, Master of Science in Data Science,文理学院,Research thesis option available.,SUCCESS,Research thesis option available.,Research thesis option available.,Research thesis option available.,Thesis option available.
282,Marquette University,MS, Master of Science in Data Science,文理学院,Thesis option available.,SUCCESS,Thesis option available.,Research thesis option available.,Thesis option available.,Thesis option available.
283,Marquette University,MS,APPLIED PSYCHOLOGY DATA ANALYTICS,文理学院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=310, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=310)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2357, traffic_type=None) automatic_function_calling_history=[] parsed=None",The,Capstone project with professional placement required.,The
284,New Jersey Institute of Technology,M.S.,Masters of Science in Data Science - Statistics Track,科学与人文学院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=319, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=319)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2366, traffic_type=None) automatic_function_calling_history=[] parsed=None",MS Project or MS Thesis option available.,Capstone project or research thesis option available.,
285,New Jersey Institute of Technology,M.S.,Data Science - M.S.（Newark）,计算机学院,Capstone project or research thesis option available.,SUCCESS,Capstone project or research thesis option available.,Capstone project or research thesis option available.,The,MS Project or MS Thesis option available.
286,New Jersey Institute of Technology,M.S.,Data Science - M.S.（Jersey City）,计算机学院,MS Project or MS Thesis option available.,SUCCESS,MS Project or MS Thesis option available.,MS Project or MS Thesis option available.,"The program URL (https://jerseycity.njit.edu/ms-data-science) contains a section ""Degree Requirements"" which states: ""Students in the Master of Science in Data Science (MSDS) program must successfully complete 30 credits based on any of the following options: 10 Courses (30 credits), 9 Courses (27 credits) + MS Project (3 credits), 8 Courses (24 credits) + MS Thesis (6 credits)"".

This clearly indicates non-coursework options.

Therefore, the non-coursework graduation requirements are: MS Project or MS Thesis option.",MS Project or MS Thesis option available.
287,New Jersey Institute of Technology,PhD,Data Science - M.S.,计算机学院,"Written and oral qualifying exams, a dissertation proposal, and an orally defended research dissertation are required.",SUCCESS,"Written and oral qualifying exams, a dissertation proposal, and an orally defended research dissertation are required.","Written and oral qualifying exams, a dissertation proposal, a research dissertation with an oral defense, and publication requirements are mandatory.","Written and oral qualifying exams, a dissertation proposal, and an orally defended research dissertation are required.","Qualifying exams, a dissertation proposal, a dissertation, and a dissertation defense are required, with potential publication requirements."
288,New Jersey Institute of Technology,PhD,Business Data Science - Ph.D.,管理学院,"Core Course Qualifying Exams, Subject Qualifying Exams, a dissertation proposal defense, and a dissertation defense are required.",SUCCESS,"Core Course Qualifying Exams, Subject Qualifying Exams, a dissertation proposal defense, and a dissertation defense are required.","Core Course Qualifying Exams, Subject Qualifying Exams, a dissertation proposal defense, and a dissertation defense are required, along with mandatory attendance at Doctoral Seminars.",A research dissertation with a public defense and successful completion of Core Course Qualifying Exams and Subject Qualifying Exams are required.,"Qualifying exams, a dissertation proposal defense, and a dissertation with a successful defense are required."
289,Fordham University,M.A.,Master of Science in Data Science and Quantitative Economics,文理研究生院,"Capstone, practicum, or thesis required.",SUCCESS,"Capstone, practicum, or thesis required.","Capstone, practicum, or thesis option available.","Capstone, practicum, or thesis required.","Capstone, practicum, or thesis required."
290,Fordham University,MS,Master of Science in Data Science,文理研究生院,"Capstone project, master's thesis, or internship required.",SUCCESS,"Capstone project, master's thesis, or internship required.","Capstone project, master's thesis, or internship required.","The program requires a Capstone Project, with a master's thesis or an internship available as optional alternatives.
Capstone project, master's thesis, or internship required.","Capstone project, master's thesis, or internship option available."
291,Fordham University,MS,Master of Science in Data Science,文理研究生院,"Capstone project required, with thesis or internship options.",SUCCESS,"Capstone project required, with thesis or internship options.","Capstone project required, with thesis or internship options.","Capstone project required, with optional thesis or internship.","Capstone project, master's thesis, or internship required."
292,Fordham University,MS,Master of Science in Data Science,文理研究生院,"Capstone project, master's thesis, or internship required.",SUCCESS,"Capstone project, master's thesis, or internship required.","Capstone project, master's thesis, or internship required.","Capstone project, master's thesis, or internship required.","Capstone project, thesis, or internship required."
293,University of South Florida,PhD,Big Data Analytics,商学院,A qualifying exam and a dissertation defense are required.,SUCCESS,A qualifying exam and a dissertation defense are required.,A qualifying exam and dissertation defense are required.,Qualifying exam and dissertation required.,A qualifying exam and a dissertation defense are required.
294,University of South Florida,MS,Industrial Engineering：Master of Science in Data Intelligence,工程学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,Not found,Not found,No additional graduation requirement.
295,University of South Florida,MS,Industrial Engineering：Master of Science in Data Intelligence,工程学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,Not found,No additional graduation requirement.
296,Southern Methodist University,PHD,Ph.D. in Data Science,人文与科学学院,"Two research rotations, comprehensive exams, a Ph.D. qualifying exam, a prospectus exam, and a dissertation are required.",SUCCESS,"Two research rotations, comprehensive exams, a Ph.D. qualifying exam, a prospectus exam, and a dissertation are required.","Two research rotations, comprehensive exams, a Ph.D. qualifying exam, a prospectus exam, and a dissertation are required.","The initial browsing of the provided URLs did not directly state the non-coursework graduation requirements for the Ph.D. in Data Science. The pages describe the programs and admission requirements but lack details on graduation requirements beyond coursework. I need to look for links related to ""Graduation Guidelines and Requirements"" or similar, or use the search query.

Looking at the first URL, there is a link under ""Current Students"" -> ""Graduation Guidelines and Requirements"". I will browse this link.",
297,Southern Methodist University,MS,Data Science & Applied Statistics MS,人文与科学学院,A consulting project with written and oral presentations is required.,SUCCESS,A consulting project with written and oral presentations is required.,A consulting project with written and oral presentations is required.,A consulting project with written and oral presentations is required.,A consulting project with written and oral presentations is required.
298,Southern Methodist University,MS,M.S in OR and Analytics ,工程学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,The,Not found,No additional graduation requirement.
299,Southern Methodist University,MS,M.S in OR and Analytics ,工程学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,Not found,Not found,Not found
300,Southern Methodist University,MS,M.S. Data Engineering,工程学院,Research thesis option available.,SUCCESS,Research thesis option available.,Master's thesis option available.,Research thesis option available.,A research thesis is an option for graduation.
301,Southern Methodist University,MS,M.S. Datacenter Systems Engineering,工程学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,The,No additional graduation requirement.,Not found
302,Southern Methodist University,MS,M.S. Data Engineering,工程学院,Master's thesis option available,SUCCESS,Master's thesis option available,Master's thesis is an available option.,Master's thesis option available.,Research thesis is an available option.
303,Southern Methodist University,MS,M.S. Datacenter Systems Engineering,工程学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,Not found,
304,Temple University,MS,Statistics and Data Science,商学院,No additional graduation requirement,SUCCESS,No additional graduation requirement,Not found,Not found,Not found
305,Temple University,MS,Computational Data Science MS,科学技术学院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=321, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=321)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2368, traffic_type=None) automatic_function_calling_history=[] parsed=None",Capstone or thesis option available.,Capstone project or research thesis required.,Capstone project or master's thesis required.
306,University of Iowa,Ph.D,Statistics—data science,文理学院,"MS final exam, PhD qualifying procedure, comprehensive exam (prospectus), and a dissertation with a final defense are required.",SUCCESS,"MS final exam, PhD qualifying procedure, comprehensive exam (prospectus), and a dissertation with a final defense are required.","The PhD program requires passing an MS final exam, a PhD qualifying procedure, a comprehensive exam (prospectus), and writing and defending a dissertation.","The non-coursework graduation requirements include a PhD qualifying procedure, a comprehensive exam (prospectus), and a dissertation with a final defense.","MS final exam, PhD qualifying procedure, PhD comprehensive exam, and a dissertation defense are required."
307,University of Iowa,MS,data science,文理学院,Capstone project and practicum or internship required.,SUCCESS,Capstone project and practicum or internship required.,Capstone project and practicum/internship required.,Capstone project or practicum/internship required.,"The second URL (https://stat.uiowa.edu/graduate/ms-data-science) provides detailed information about the Master of Science in Data Science program.
Under the ""Coursework"" section, it states: ""Students acquire hands-on experience in solving real-world problems, communication skills, and data ethics via a required capstone project.""
Further down, in the ""Requirements and program planning"" and ""Courses"" sections, it lists ""MS Data Science Practicum (DATA:5890 –1 course totaling 2 semester hours)"".
It also mentions: ""*Students may substitute DATA:5890 by an appropriate internship/summer work experience, with approval by the course instructor.""

So, there is a required capstone project and a practicum that can be substituted with an internship.

The question asks for graduation requirements that go beyond regular coursework. A capstone project and practicum/internship fit this description.

Therefore, the non-coursework graduation requirements are a capstone project and a practicum or internship."
308,University of Iowa,MS,data science,文理学院,Capstone project and practicum/internship required.,SUCCESS,Capstone project and practicum/internship required.,A capstone project is required.,Capstone project and practicum/internship required.,Capstone project and practicum/internship required.
309,Auburn University,MS,Data Science and Engineering – Data Engineering Option,工程学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required.
310,Auburn University,MS,Data Science and Engineering – Data Engineering Option,工程学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required.
311,Auburn University,MS,Data Science and Engineering – Data Science Option,科学与数学学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required.
312,Auburn University,MS,Data Science and Engineering – Data Science Option,科学与数学学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required.
313,Baylor University,Ph.D.,Statistical Science  Concentration in Data Science,文理学院,"Consulting-teaching practicum, dissertation, computer proficiency, and a preliminary examination are required.",SUCCESS,"Consulting-teaching practicum, dissertation, computer proficiency, and a preliminary examination are required.","Consulting-teaching practicum, dissertation, computer proficiency, and a preliminary examination are required.","A consulting-teaching practicum, dissertation, and preliminary examination are required.","A dissertation, a consulting-teaching practicum, demonstration of computer proficiency, and a preliminary examination are required."
314,Drexel University,MS,MS in Data Science,计算与信息学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,"The browsing results indicate that a capstone project is a graduation requirement. Specifically, Result 2 states: ""A capstone project affords you the opportunity to gain practical, real-world industry experience within your area of interest and use your new knowledge before graduation."" It also mentions ""Final hands-on, collaborative capstone project"" under ""Fast Facts"". The program also offers a Graduate Co-op option, but it's not stated as a mandatory graduation requirement; it's an option for full-time, on-campus students.",A capstone project is required.
315,Drexel University,MS,MS in Data Science,计算与信息学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required.
316,Drexel University,PhD,PhD in Information Science,计算与信息学院,Research thesis and comprehensive exam required.,SUCCESS,Research thesis and comprehensive exam required.,"The browsed pages provide information on admissions and a general overview of the PhD program. However, they do not explicitly list non-coursework graduation requirements such as a thesis, comprehensive exam, or capstone project. The second URL mentions ""explore published doctoral dissertations at Drexel Libraries for more insights into the PhD in Information Science"", which strongly suggests a dissertation is required, but it is not a direct statement of a graduation requirement. I need to find a more authoritative source on graduation requirements.

I will perform the suggested search to find more specific information on graduation requirements.",A research thesis and a comprehensive exam are required.,Research thesis and comprehensive exam required.
317,University of Oregon,MS,Data Science,Phil and Penny Knight Campus for Accelerating Scientific Impact,A 9-month paid internship is required.,SUCCESS,A 9-month paid internship is required.,Not found,Internship required.,A 9-month paid internship is required.
318,"Rutgers University, Camden",M.S.,COMPUTER SCIENCE M.S.,文理研究生院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=319, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=319)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2366, traffic_type=None) automatic_function_calling_history=[] parsed=None",Capstone project or research thesis option available.,Project or thesis option available.,Capstone or thesis option available.
319,"Rutgers University, Camden",M.S.,DATA SCIENCE M.S.,文理研究生院,Capstone project or research thesis required.,SUCCESS,Capstone project or research thesis required.,Capstone project or research thesis required.,Capstone project or research thesis required.,Capstone project or research thesis required.
320,Rochester Institute of Technology,MS,Data Science MS  ,罗切斯特理工学院,PARSE_ERROR: 'NoneType' object is not subscriptable,PARSE_ERROR,"candidates=[Candidate(content=Content(parts=None, role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.MAX_TOKENS: 'MAX_TOKENS'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)] create_time=None response_id=None model_version='gemini-2.5-flash' prompt_feedback=None usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=None, candidates_tokens_details=None, prompt_token_count=714, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=714)], thoughts_token_count=2047, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=2761, traffic_type=None) automatic_function_calling_history=[] parsed=None","A graduate capstone is required for students in the online program, while the on-campus program requires two applied data science seminar courses.",,"The browsed page mentions ""Curriculum for 2024-2025 for Data Science MS"". Under the ""Data Science, MS degree, typical course sequence (online program)"" and ""Data Science, MS degree, typical course sequence (online + edX program)"" sections, it lists ""DSCI-799 Graduate Capstone"" as a 3-credit hour course. The description for DSCI-799 states: ""This non-class-based experience provides the student with an individual opportunity to explore a project-based or a research-based project that advances knowledge in an area of data science. The student selects a problem, conducts background research, develops the system or devises a research approach, analyses the results, and builds a professional document and presentation that disseminates the project. The report must include a literature review. The final report structure is to be determined by the capstone advisor."".

It also states under ""Online Degree Information"" that ""The online program culminates with a capstone course and capstone project.""

For the ""on-campus program"", it lists DSCI-601 and DSCI-602 ""Applied Data Science I"" and ""Applied Data Science II"" which seem to involve project development and presentation. While these sound like project-based courses, the explicit ""Graduate Capstone"" (DSCI-799) is specifically listed for the online programs and is described as a ""non-class-based experience"". The prompt asks for requirements that go beyond regular coursework. DSCI-799 seems to fit this description.

Let me re-read the description of DSCI-601 and DSCI-602 for the on-campus program to see if they are equivalent to a capstone or thesis.
DSCI-601 Applied Data Science I: ""develop"
321,Illinois Institute of Technology,M.S.,Economics and Data Analytics (M.S.),商学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.,No additional graduation requirement.
322,Illinois Institute of Technology,M.A.S,Data Science Master’s—Master of Applied Science (M.A.S.),计算机学院,A six-credit-hour practicum project is required.,SUCCESS,A six-credit-hour practicum project is required.,A six-credit-hour practicum project is required.,Capstone practicum project required.,A six-credit-hour practicum project is required.
323,"University of Colorado, Boulder",MS,Professional Master's in Data Science,工程与应用科学学院,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,"The browse results indicate that the program offers ""Capstone projects that apply data science techniques to real business and scientific problems"". This is listed under ""experiential learning opportunities"".

Let me check the ""Graduation Information"" link mentioned on the first page to confirm.
However, it is not a direct link to a new page, but rather a heading. I'll search for ""Graduation Information"" within the provided pages.

Upon reviewing the content, the second URL mentions ""Capstone projects that apply data science techniques to real business and scientific problems"" under the section ""What kind of experiential learning opportunities are available through CU Boulder's MS in Data Science?"". This strongly suggests a capstone project is a non-coursework requirement.

I'll formulate the answer.","The browse results indicate ""Capstone projects that apply data science techniques to real business and scientific problems"" and ""Internship support through elective course credit for students who secure internships within industry"" as experiential learning opportunities. This suggests that a capstone project is an option and internships are supported, but it doesn't explicitly state if they are *required* for graduation.

I will search for ""Graduation Information"" link mentioned in the first browse result.
In the first browse result, under ""Master of Science in Data Science"" and ""College of Engineering and Applied Science"", there is a link ""Graduation Information"". I will try to find the URL for this link and browse it. Since it's not directly visible, I'll use the search tool as per the guidelines.",Not found
324,"University of Colorado, Boulder",MS,Statistics and Data Science,工程与应用科学学院,"A culminating experience (project or internship/fellowship with written and presentation components) is required, with a thesis option available in rare cases.",SUCCESS,"A culminating experience (project or internship/fellowship with written and presentation components) is required, with a thesis option available in rare cases.",The,Capstone project required.,"A culminating experience (project or internship/fellowship with written and presentation components) is required, with a thesis option available in rare cases."
325,"University of Colorado, Boulder",MS,Statistics and Data Science,工程与应用科学学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project or internship/fellowship required.,Capstone project required.
326,American University,MS,Quantitative Analysis MS,文理学院,Capstone project required,SUCCESS,Capstone project required,Capstone project required.,A capstone project is required.,Capstone project required.
327,American University,MS,Quantitative Analysis MS,文理学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project required.
328,American University,MS,Data Science MS,文理学院,Capstone project required.,SUCCESS,Capstone project required.,Capstone project required.,Capstone project required.,Capstone project (Data Science Practicum) required.
329,American University,MS,Data Science MS,文理学院,Capstone practicum required.,SUCCESS,Capstone practicum required.,Capstone practicum required.,Capstone practicum required.,Capstone project required.
330,American University,MS,MS Analytics,商学院,Practicum project required,SUCCESS,Practicum project required,Practicum project required.,A practicum project is required.,A practicum project is required.
331,Yeshiva University,MS,Data Analytics and Visualization (MS),科学与卫生学院,Capstone project required,SUCCESS,Capstone project required,Capstone project required.,Capstone project required.,A capstone project is required.
332,Yeshiva University,MS,Data Analytics and Visualization (MS),科学与卫生学院,Capstone project required.,SUCCESS,Capstone project required.,A capstone project is required.,Capstone project required.,Capstone project required.
333,University of San Francisco,MS,Data Science (formerly Analytics),文理学院,Practicum required.,SUCCESS,Practicum required.,Practicum required.,Practicum required.,The
334,University of Arizona,MS,Statistics and Data Science (MS),研究生院跨学科课程,Research thesis or qualifying exam required.,SUCCESS,Research thesis or qualifying exam required.,Research thesis or qualifying exam required.,,Thesis or qualifying exam required.
335,University of Arizona,PHD,Statistics and Data Science (PHD),研究生院跨学科课程,No additional graduation requirement.,SUCCESS,No additional graduation requirement.,Not found,Not found,Not found
336,University of Arizona,PHD,Statistics and Data Science (PHD) - Statistical Informatics,研究生院跨学科课程,API_ERROR: Error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000),API_ERROR,Error: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1000),A research dissertation and a comprehensive examination are required.,Not found,Dissertation and comprehensive examination are required.
337,University of Arizona,MS,Statistics and Data Science (MS),研究生院跨学科课程,Thesis or qualifying exam required.,SUCCESS,Thesis or qualifying exam required.,Thesis or qualifying exam required.,Thesis or qualifying exam required.,Thesis or qualifying exam required.
